model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
mult,17,text_50_middle,0.5467032967032966,0.522401129623974,0.5466670476468909,0.7016635537147522,0.46569500467888
mult,17,text_50_back,0.5343406593406593,0.4583339866382348,0.5018312918406407,0.711204469203949,0.4660089740290341
mult,17,audio_10_front,0.5769230769230769,0.5367712479471454,0.5669655180009776,0.6798465251922607,0.5291971315586679
mult,17,audio_10_middle,0.5824175824175825,0.5410477981167365,0.5718303853126291,0.6785192489624023,0.5304053148098503
mult,17,audio_10_back,0.5686813186813187,0.5371191536902151,0.5644759027538396,0.6794450283050537,0.5382905322926351
mult,17,audio_30_front,0.5782967032967034,0.536873951970451,0.5676085304173012,0.6815999746322632,0.5294480506055615
mult,17,audio_30_middle,0.5892857142857143,0.5487628960427021,0.5790399012756011,0.6776440143585205,0.5337237231393949
mult,17,audio_30_back,0.5755494505494505,0.5433685268979387,0.5705222680788291,0.6789132952690125,0.5393240643906202
mult,17,audio_50_front,0.5714285714285714,0.5274519652441264,0.5595730694937044,0.6835692524909973,0.5301841402845658
mult,17,audio_50_middle,0.5879120879120879,0.5481082742970724,0.5775355147332419,0.6765868067741394,0.5366588869211527
mult,17,audio_50_back,0.5782967032967034,0.5455445570117008,0.572821348648563,0.6778286099433899,0.5415549829098212
mult,17,vision_10_front,0.5824175824175825,0.5397621753512641,0.5710083614982087,0.6792044043540955,0.5294068196828144
mult,17,vision_10_middle,0.5796703296703297,0.5365622294327169,0.5679161531864909,0.680246889591217,0.5281081109393507
mult,17,vision_10_back,0.5769230769230769,0.5303969035348285,0.5633673186990898,0.7028387784957886,0.5207382358651665
mult,17,vision_30_front,0.5782967032967034,0.5331655195548005,0.5650852449577051,0.6796165108680725,0.5277103604735637
mult,17,vision_30_middle,0.5728021978021978,0.5253319662427554,0.5580030424335187,0.6827458143234253,0.5254657704588013
mult,17,vision_30_back,0.5714285714285714,0.5228224065029621,0.5565307713459041,0.7086583971977234,0.5144039163250899
mult,17,vision_50_front,0.5824175824175825,0.5343420642893345,0.5671558271994884,0.6826885342597961,0.5246556176574243
mult,17,vision_50_middle,0.5686813186813187,0.5199023624352849,0.553039210114021,0.6851872801780701,0.5227768500340014
mult,17,vision_50_back,0.5673076923076923,0.5175427627567706,0.5519733057191902,0.7133859395980835,0.510161336340182
mult,17,audio_vision_30_sync,0.5796703296703297,0.5329831072910272,0.5652487988467784,0.6811011433601379,0.530534862460373
mult,17,text_audio_30_sync,0.5673076923076923,0.531702457514524,0.5600010391337189,0.7000677585601807,0.49369501604913935
mult,17,audio_vision_30_offset,0.5673076923076923,0.5198048951742725,0.5532939141430824,0.7075997591018677,0.5163207551327859
mult,17,audio_30_two_blocks,0.5728021978021978,0.5414254232880275,0.5688659880340577,0.6802895069122314,0.5372969142090713
mult,29,clean,0.5865384615384616,0.5396706441331188,0.5712632251678904,0.7034651637077332,0.5287064394752606
mult,29,text_10_front,0.5714285714285714,0.5250285041744823,0.5577973633371562,0.7039873600006104,0.5217542025873987
mult,29,text_10_middle,0.5631868131868132,0.5195306178254732,0.5513094673905224,0.7140412330627441,0.5120819674038886
mult,29,text_10_back,0.5535714285714286,0.517284181227315,0.5504994388349335,0.6916928887367249,0.5036191053807583
mult,29,text_30_front,0.5673076923076923,0.5297182975754403,0.559252822007924,0.706348180770874,0.48775535213277454
mult,29,text_30_middle,0.5645604395604396,0.5285856837877397,0.5575465738015625,0.7193158268928528,0.48208892224249467
mult,29,text_30_back,0.5480769230769231,0.5163873017085834,0.5464879702646741,0.6963583827018738,0.49006493013974
mult,29,text_50_front,0.5425824175824175,0.5114345254599276,0.5395760516432105,0.7199100255966187,0.4552572923226947
